,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
91,N123UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
92,N124AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
93,N124SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
94,N124US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
95,N12540,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
96,N12552,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
97,N12563,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
98,N12564,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
99,N12567,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
100,N12569,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
101,N125AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
102,N125SY,SKY WEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
103,N125UW,AMERICAN AIRLINES INC,AIRBUS,A320-214,AIRBUS,A320,AIRBUS A320,156.0
104,N126UW,AMERICAN AIRLINES INC,AIRBUS,A320-214,AIRBUS,A320,AIRBUS A320,156.0
105,N12754,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-700,BOEING,737,BOEING 737,150.0
106,N127AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
107,N127SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
108,N127UW,AMERICAN AIRLINES INC,AIRBUS,A320-214,AIRBUS,A320,AIRBUS A320,156.0
109,N128AA,SUMMERLAND AIRCRAFT CORP,CESSNA,U206F,CESSNA,U206F,CESSNA U206F,
110,N128SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
111,N128UW,AMERICAN AIRLINES INC,AIRBUS,A320-214,AIRBUS,A320,AIRBUS A320,156.0
112,N12900,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
113,N12922,DAS PLANE LLC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
114,N12996,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
115,N130SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
116,N13118,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
117,N13161,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
118,N131EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
119,N131SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
120,N13202,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
121,N13227,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
122,N13248,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
123,N132EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
124,N132SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
125,N133EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
126,N133SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
127,N134EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
128,N134SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
129,N13538,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
130,N13550,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
131,N13553,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
132,N13566,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
133,N135EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
134,N135SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
135,N136SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
136,N13716,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
137,N13718,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
138,N13720,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
139,N13750,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
140,N137EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
141,N138EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
142,N138SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
143,N13903,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
144,N13908,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
145,N13913,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
146,N13914,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
147,N13975,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
148,N13978,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
149,N13979,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
150,N13988,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
151,N13989,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
152,N13992,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
153,N13994,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
154,N13995,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
155,N13997,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
156,N139SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
157,N140SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
158,N14105,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
159,N14120,UNITED AIRLINES INC,BOEING,757-224,BOEING,757,BOEING 757,184.0
160,N14143,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
161,N14148,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
162,N14158,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
163,N14162,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
164,N14168,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
165,N14171,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
166,N14173,WELLS FARGO BANK NORTHWEST NA-TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
167,N14174,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
168,N14177,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
169,N14179,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
170,N14180,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
171,N14188,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
172,N14198,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
173,N141SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
174,N14203,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
175,N14204,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
176,N14214,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
177,N14219,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
178,N14228,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
179,N14230,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
180,N14231,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
181,N14235,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
182,N14237,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
183,N14240,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
184,N14242,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
185,N14249,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
186,N14250,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
187,N142SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
188,N143SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
189,N144SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
190,N14542,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
191,N14543,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
192,N14558,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
193,N14562,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
194,N14568,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
195,N14570,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
196,N14573,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
197,N145SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
198,N146PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
199,N146SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
200,N14704,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
201,N14731,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
202,N14735,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
203,N147PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
204,N148SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
205,N14902,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
206,N14904,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
207,N14905,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
208,N14907,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
209,N14916,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
210,N14920,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
211,N14923,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
212,N14977,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
213,N14991,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
214,N14993,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
215,N14998,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
216,N149SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
217,N150AA,TAXMAN ARTHUR M,GRUMMAN AMERICAN AVN. CORP,AA-1A,GRUMMAN,AA,GRUMMAN AA,
218,N150SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
219,N150UW,AMERICAN AIRLINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
220,N151AA,INTERNATIONAL AIR SERVICES INC TRUSTEE,TAGUE LARRY,PIONEER 200,TAGUE,PIONEER 200,TAGUE PIONEER 200,
221,N151SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
222,N151UW,AMERICAN AIRLINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
223,N152AA,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
224,N152SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
225,N152UW,AMERICAN AIRLINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
226,N153AA,NOTTI LEIGH A,AVIAT AIRCRAFT INC,A-1B,AVIAT,A,AVIAT A,
227,N153PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
228,N153SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
229,N153UW,AMERICAN AIRLINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
230,N154AA,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
231,N154SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
232,N154UW,AMERICAN AIRLINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
233,N15555,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
234,N15572,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
235,N15574,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
236,N155UW,AMERICAN AIRLINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
237,N156AA,DARDIS AVIATION LLC,AVIAT AIRCRAFT INC,A-1B,AVIAT,A,AVIAT A,
238,N156SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
239,N156UW,AMERICAN AIRLINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
240,N15710,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
241,N15751,UNITED AIRLINES INC,BOEING,737-71Q,BOEING,737,BOEING 737,150.0
242,N157AA,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
243,N157SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
244,N157UW,AMERICAN AIRLINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
245,N15910,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
246,N15912,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
247,N15980,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
248,N15983,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
249,N15985,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
250,N15986,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
251,N160SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
252,N16149,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
253,N16170,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
254,N16178,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
255,N16183,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
256,N161AA,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
257,N161SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
258,N161UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211,AIRBUS,A321,AIRBUS A321,182.0
259,N16217,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
260,N16234,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
261,N162AA,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
262,N162SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
263,N162UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211,AIRBUS,A321,AIRBUS A321,182.0
264,N163AA,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
265,N163SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
266,N163US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211,AIRBUS,A321,AIRBUS A321,182.0
267,N164SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
268,N16541,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
269,N16546,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
270,N16559,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
271,N16561,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
272,N16571,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
273,N165SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
274,N165US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211,AIRBUS,A321,AIRBUS A321,182.0
275,N166PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24,BOMBARDIER,CL,BOMBARDIER CL,65.0
276,N166SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
277,N16701,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
278,N16703,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
279,N16709,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
280,N16713,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
281,N16732,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
282,N167AA,AAI AVIATION INC,GULFSTREAM AEROSPACE,G-IV,GULFSTREAM,G,GULFSTREAM G,
283,N167SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
284,N167US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211,AIRBUS,A321,AIRBUS A321,182.0
285,N168SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
286,N16911,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
287,N16918,DAS PLANE LLC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
288,N16919,ERJ145 HOLDINGS LLC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
289,N16976,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
290,N16981,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
291,N16987,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
292,N16999,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
293,N169UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211,AIRBUS,A321,AIRBUS A321,182.0
294,N170US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211,AIRBUS,A321,AIRBUS A321,182.0
295,N17108,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
296,N17115,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
297,N17138,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
298,N17146,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
